MUNICIPIO,REGIAO_ID,NUM_DOSES,ANO
110001 ALTA FLORESTA D\'OESTE,,"30,903",2001
110002 ARIQUEMES,,"89,250",2001
110003 CABIXI,,"8,474",2001
110004 CACOAL,,"91,032",2001
110005 CEREJEIRAS,,"19,200",2001
110006 COLORADO DO OESTE,,"22,250",2001
110007 CORUMBIARA,,"10,090",2001
110008 COSTA MARQUES,,"11,018",2001
110009 ESPIGAO D\'OESTE,,"24,555",2001
110010 GUAJARA-MIRIM,,"62,685",2001
110011 JARU,,"67,354",2001
110012 JI-PARANA,,"124,840",2001
110013 MACHADINHO D\'OESTE,,"40,958",2001
110014 NOVA BRASILANDIA D\'OESTE,,"17,923",2001
110015 OURO PRETO DO OESTE,,"46,073",2001
110018 PIMENTA BUENO,,"34,130",2001
110020 PORTO VELHO,,"439,956",2001
110025 PRESIDENTE MEDICI,,"23,993",2001
110026 RIO CRESPO,,"4,065",2001
110028 ROLIM DE MOURA,,"52,791",2001
110029 SANTA LUZIA D\'OESTE,,"11,811",2001
110030 VILHENA,,"82,980",2001
110032 SAO MIGUEL DO GUAPORE,,"28,864",2001
110033 NOVA MAMORE,,"16,440",2001
110034 ALVORADA D\'OESTE,,"25,198",2001
110037 ALTO ALEGRE DOS PARECIS,,"10,986",2001
110040 ALTO PARAISO,,"19,824",2001
110045 BURITIS,,"41,287",2001
110050 NOVO HORIZONTE DO OESTE,,"10,864",2001
110060 CACAULANDIA,,"5,611",2001
110070 CAMPO NOVO DE RONDONIA,,"16,352",2001
110080 CANDEIAS DO JAMARI,,"23,939",2001
110090 CASTANHEIRAS,,"3,483",2001
110092 CHUPINGUAIA,,"6,783",2001
110094 CUJUBIM,,"7,189",2001
110100 GOVERNADOR JORGE TEIXEIRA,,"16,893",2001
110110 ITAPUA DO OESTE,,"6,980",2001
110120 MINISTRO ANDREAZZA,,"10,174",2001
110130 MIRANTE DA SERRA,,"16,205",2001
110140 MONTE NEGRO,,"15,702",2001
110143 NOVA UNIAO,,"6,954",2001
110145 PARECIS,,"3,481",2001
110146 PIMENTEIRAS DO OESTE,,"2,886",2001
110147 PRIMAVERA DE RONDONIA,,"6,268",2001
110148 SAO FELIPE D\'OESTE,,"7,966",2001
110149 SAO FRANCISCO DO GUAPORE,,"16,684",2001
110150 SERINGUEIRAS,,"10,147",2001
110155 TEIXEIROPOLIS,,"8,692",2001
110160 THEOBROMA,,"9,348",2001
110170 URUPA,,"16,953",2001
110175 VALE DO ANARI,,"10,540",2001
110180 VALE DO PARAISO,,"9,053",2001
120001 ACRELANDIA,,"9,754",2001
120005 ASSIS BRASIL,,"4,204",2001
120010 BRASILEIA,,"19,164",2001
120013 BUJARI,,"5,638",2001
120017 CAPIXABA,,"7,226",2001
120020 CRUZEIRO DO SUL,,"127,039",2001
120025 EPITACIOLANDIA,,"17,027",2001
120030 FEIJO,,"42,754",2001
120032 JORDAO,,"13,491",2001
120033 MANCIO LIMA,,"19,570",2001
120034 MANOEL URBANO,,"8,987",2001
120035 MARECHAL THAUMATURGO,,"25,268",2001
120038 PLACIDO DE CASTRO,,"15,301",2001
120039 PORTO WALTER,,"9,873",2001
120040 RIO BRANCO,,"311,591",2001
120042 RODRIGUES ALVES,,"14,267",2001
120043 SANTA ROSA DO PURUS,,"4,725",2001
120045 SENADOR GUIOMARD,,"22,144",2001
120050 SENA MADUREIRA,,"45,618",2001
120060 TARAUACA,,"48,124",2001
120070 XAPURI,,"19,627",2001
120080 PORTO ACRE,,"11,984",2001
130002 ALVARAES,,"15,139",2001
130006 AMATURA,,"13,902",2001
130008 ANAMA,,"11,968",2001
130010 ANORI,,"19,142",2001
130014 APUI,,"15,019",2001
130020 ATALAIA DO NORTE,,"14,981",2001
130030 AUTAZES,,"57,447",2001
130040 BARCELOS,,"25,149",2001
130050 BARREIRINHA,,"52,275",2001
130060 BENJAMIN CONSTANT,,"68,215",2001
130063 BERURI,,"16,536",2001
130068 BOA VISTA DO RAMOS,,"24,348",2001
130070 BOCA DO ACRE,,"24,728",2001
130080 BORBA,,"42,780",2001
130083 CAAPIRANGA,,"7,946",2001
130090 CANUTAMA,,"9,288",2001
130100 CARAUARI,,"41,273",2001
130110 CAREIRO,,"18,309",2001
130115 CAREIRO DA VARZEA,,"25,347",2001
130120 COARI,,"88,784",2001
130130 CODAJAS,,"14,642",2001
130140 EIRUNEPE,,"45,399",2001
130150 ENVIRA,,"25,208",2001
130160 FONTE BOA,,"44,201",2001
130165 GUAJARA,,"15,902",2001
130170 HUMAITA,,"60,479",2001
130180 IPIXUNA,,"20,481",2001
130185 IRANDUBA,,"29,429",2001
130190 ITACOATIARA,,"86,022",2001
130195 ITAMARATI,,"27,629",2001
130200 ITAPIRANGA,,"7,478",2001
130210 JAPURA,,"6,262",2001
130220 JURUA,,"10,566",2001
130230 JUTAI,,"45,891",2001
130240 LABREA,,"46,650",2001
130250 MANACAPURU,,"95,942",2001
130255 MANAQUIRI,,"19,007",2001
130260 MANAUS,,"1,592,038",2001
130270 MANICORE,,"52,328",2001
130280 MARAA,,"26,091",2001
130290 MAUES,,"78,184",2001
130300 NHAMUNDA,,"30,592",2001
130310 NOVA OLINDA DO NORTE,,"33,468",2001
130320 NOVO AIRAO,,"16,588",2001
130330 NOVO ARIPUANA,,"18,900",2001
130340 PARINTINS,,"92,551",2001
130350 PAUINI,,"16,598",2001
130353 PRESIDENTE FIGUEIREDO,,"21,702",2001
130356 RIO PRETO DA EVA,,"18,247",2001
130360 SANTA ISABEL DO RIO NEGRO,,"10,973",2001
