NOME_MUNICIPIO,NUM_HABITANTES,ANO
Alta Floresta D'Oeste,"24,069",2012
Alto Alegre dos Parecis,"12,833",2012
Alto Paraíso,"17,742",2012
Alvorada D'Oeste,"16,404",2012
Ariquemes,"92,747",2012
Buritis,"33,397",2012
Cabixi,"6,132",2012
Cacaulândia,"5,791",2012
Cacoal,"79,330",2012
Campo Novo de Rondônia,"12,847",2012
Candeias do Jamari,"20,787",2012
Castanheiras,"3,479",2012
Cerejeiras,"16,852",2012
Chupinguaia,"8,721",2012
Colorado do Oeste,"18,093",2012
Corumbiara,"8,530",2012
Costa Marques,"14,355",2012
Cujubim,"17,262",2012
Espigão D'Oeste,"29,189",2012
Governador Jorge Teixeira,"10,040",2012
Guajará-Mirim,"42,202",2012
Itapuã do Oeste,"8,830",2012
Jaru,"51,765",2012
Ji-Paraná,"118,092",2012
Machadinho D'Oeste,"32,403",2012
Ministro Andreazza,"10,203",2012
Mirante da Serra,"11,686",2012
Monte Negro,"14,313",2012
Nova Brasilândia D'Oeste,"19,891",2012
Nova Mamoré,"23,719",2012
Nova União,"7,382",2012
Novo Horizonte do Oeste,"9,933",2012
Ouro Preto do Oeste,"37,482",2012
Parecis,"4,990",2012
Pimenta Bueno,"34,135",2012
Pimenteiras do Oeste,"2,283",2012
Porto Velho,"442,701",2012
Presidente Médici,"21,709",2012
Primavera de Rondônia,"3,406",2012
Rio Crespo,"3,374",2012
Rolim de Moura,"51,142",2012
Santa Luzia D'Oeste,"8,476",2012
São Felipe D'Oeste,"5,862",2012
São Francisco do Guaporé,"16,636",2012
São Miguel do Guaporé,"21,927",2012
Seringueiras,"11,619",2012
Teixeirópolis,"4,778",2012
Theobroma,"10,575",2012
Urupá,"12,687",2012
Vale do Anari,"9,633",2012
Vale do Paraíso,"7,961",2012
Vilhena,"79,616",2012
Acrelândia,"13,011",2012
Assis Brasil,"6,308",2012
Brasiléia,"22,261",2012
Bujari,"8,782",2012
Capixaba,"9,368",2012
Cruzeiro do Sul,"79,819",2012
Epitaciolândia,"15,679",2012
Feijó,"32,560",2012
Jordão,"6,898",2012
Mâncio Lima,"15,890",2012
Manoel Urbano,"8,224",2012
Marechal Thaumaturgo,"15,123",2012
Plácido de Castro,"17,587",2012
Porto Acre,"15,534",2012
Porto Walter,"9,711",2012
Rio Branco,"348,354",2012
Rodrigues Alves,"15,260",2012
Santa Rosa do Purus,"5,061",2012
Sena Madureira,"39,366",2012
Senador Guiomard,"20,588",2012
Tarauacá,"36,763",2012
Xapuri,"16,639",2012
Alvarães,"14,381",2012
Amaturá,"9,794",2012
Anamã,"10,766",2012
Anori,"17,072",2012
Apuí,"18,633",2012
Atalaia do Norte,"15,924",2012
Autazes,"33,312",2012
Barcelos,"25,948",2012
Barreirinha,"28,077",2012
Benjamin Constant,"34,950",2012
Beruri,"16,158",2012
Boa Vista do Ramos,"15,659",2012
Boca do Acre,"31,171",2012
Borba,"35,919",2012
Caapiranga,"11,303",2012
Canutama,"13,986",2012
Carauari,"26,130",2012
Careiro,"33,517",2012
Careiro da Várzea,"24,937",2012
Coari,"77,305",2012
Codajás,"24,067",2012
Eirunepé,"31,364",2012
Envira,"16,923",2012
Fonte Boa,"23,198",2012
Guajará,"14,396",2012
Humaitá,"45,954",2012
Ipixuna,"23,460",2012
Iranduba,"41,947",2012
Itacoatiara,"89,064",2012
Itamarati,"7,983",2012
Itapiranga,"8,348",2012
Japurá,"7,448",2012
Juruá,"11,439",2012
Jutaí,"18,293",2012
Lábrea,"39,022",2012
Manacapuru,"86,985",2012
Manaquiri,"24,325",2012
Manaus,"1,861,838",2012
Manicoré,"48,373",2012
Maraã,"17,596",2012
Maués,"54,079",2012
Nhamundá,"18,720",2012
Nova Olinda do Norte,"31,749",2012
Novo Airão,"15,489",2012
Novo Aripuanã,"22,106",2012
Parintins,"103,828",2012
Pauini,"18,329",2012
Presidente Figueiredo,"28,652",2012
Rio Preto da Eva,"26,948",2012
Santa Isabel do Rio Negro,"19,292",2012
Santo Antônio do Içá,"24,890",2012
São Gabriel da Cachoeira,"39,097",2012
São Paulo de Olivença,"32,677",2012
São Sebastião do Uatumã,"11,241",2012
Silves,"8,544",2012
Tabatinga,"54,440",2012
Tapauá,"17,903",2012
Tefé,"61,000",2012
Tonantins,"17,316",2012
Uarini,"12,139",2012
Urucará,"16,902",2012
Urucurituba,"18,679",2012
Alto Alegre,"16,228",2012
Amajari,"9,936",2012
Boa Vista,"296,959",2012
Bonfim,"11,188",2012
Cantá,"14,707",2012
Caracaraí,"19,019",2012
Caroebe,"8,480",2012
Iracema,"9,288",2012
Mucajaí,"15,328",2012
Normandia,"9,364",2012
Pacaraima,"10,953",2012
Rorainópolis,"25,319",2012
São João da Baliza,"7,023",2012
São Luiz,"6,968",2012
Uiramutã,"8,764",2012
Abaetetuba,"144,415",2012
Abel Figueiredo,"6,905",2012
Acará,"53,787",2012
Afuá,"35,879",2012
Água Azul do Norte,"25,506",2012
Alenquer,"53,369",2012
Almeirim,"33,563",2012
Altamira,"102,343",2012
Anajás,"25,731",2012
Ananindeua,"483,821",2012
Anapu,"22,225",2012
Augusto Corrêa,"41,628",2012
Aurora do Pará,"27,576",2012
Aveiro,"15,899",2012
Bagre,"25,398",2012
Baião,"39,263",2012
Bannach,"3,379",2012
Barcarena,"105,385",2012
Belém,"1,410,430",2012
Belterra,"16,579",2012
Benevides,"54,083",2012
Bom Jesus do Tocantins,"15,629",2012
Bonito,"14,207",2012
Bragança,"116,164",2012
Brasil Novo,"17,960",2012
Brejo Grande do Araguaia,"7,295",2012
Breu Branco,"55,521",2012
Breves,"94,779",2012
Bujaru,"26,400",2012
Cachoeira do Arari,"21,147",2012
Cachoeira do Piriá,"28,153",2012
Cametá,"124,411",2012
Canaã dos Carajás,"29,101",2012
Capanema,"64,624",2012
Capitão Poço,"52,214",2012
Castanhal,"178,986",2012
Chaves,"21,557",2012
Colares,"11,495",2012
Conceição do Araguaia,"45,885",2012
Concórdia do Pará,"29,313",2012
Cumaru do Norte,"11,144",2012
Curionópolis,"18,108",2012
Curralinho,"29,838",2012
Curuá,"12,712",2012
Curuçá,"35,523",2012
Dom Eliseu,"53,100",2012
Eldorado dos Carajás,"32,115",2012
Faro,"7,897",2012
Floresta do Araguaia,"18,295",2012
Garrafão do Norte,"25,157",2012
Goianésia do Pará,"35,299",2012
Gurupá,"29,963",2012
Igarapé-Açu,"36,414",2012
Igarapé-Miri,"58,904",2012
Inhangapi,"10,393",2012
Ipixuna do Pará,"51,569",2012
Irituia,"31,492",2012
Itaituba,"97,908",2012
Itupiranga,"51,457",2012
Jacareacanga,"41,487",2012
Jacundá,"52,993",2012
Juruti,"49,486",2012
Limoeiro do Ajuru,"25,846",2012
Mãe do Rio,"28,290",2012
Magalhães Barata,"8,179",2012
Marabá,"243,583",2012
Maracanã,"28,498",2012
Marapanim,"26,890",2012
Marituba,"113,353",2012
Medicilândia,"28,227",2012
Melgaço,"25,374",2012
Mocajuba,"27,666",2012
Moju,"72,597",2012
Monte Alegre,"55,804",2012
Muaná,"35,524",2012
Nova Esperança do Piriá,"20,350",2012
Nova Ipixuna,"15,065",2012
Nova Timboteua,"14,012",2012
Novo Progresso,"25,151",2012
Novo Repartimento,"65,106",2012
Óbidos,"49,763",2012
Oeiras do Pará,"29,402",2012
Oriximiná,"64,978",2012
Ourém,"16,601",2012
Ourilândia do Norte,"28,551",2012
Pacajá,"41,654",2012
Palestina do Pará,"7,465",2012
Paragominas,"101,046",2012
Parauapebas,"166,342",2012
Pau D'Arco,"5,869",2012
Peixe-Boi,"7,869",2012
Piçarra,"12,701",2012
Placas,"25,526",2012
Ponta de Pedras,"27,103",2012
Portel,"54,306",2012
Porto de Moz,"35,529",2012
Prainha,"29,325",2012
Primavera,"10,352",2012
Quatipuru,"12,639",2012
Redenção,"77,415",2012
Rio Maria,"17,728",2012
Rondon do Pará,"48,036",2012
Rurópolis,"42,417",2012
Salinópolis,"38,021",2012
Salvaterra,"20,948",2012
Santa Bárbara do Pará,"18,012",2012
Santa Cruz do Arari,"8,593",2012
Santa Isabel do Pará,"61,919",2012
Santa Luzia do Pará,"19,428",2012
Santa Maria das Barreiras,"18,150",2012
Santa Maria do Pará,"23,355",2012
Santana do Araguaia,"59,919",2012
Santarém,"299,419",2012
Santarém Novo,"6,248",2012
Santo Antônio do Tauá,"27,707",2012
São Caetano de Odivelas,"17,087",2012
São Domingos do Araguaia,"23,602",2012
São Domingos do Capim,"30,215",2012
