NOME_MUNICIPIO,NUM_HABITANTES,ANO
Alta Floresta D'Oeste,"25,728",2013
Alto Alegre dos Parecis,"13,827",2013
Alto Paraíso,"19,459",2013
Alvorada D'Oeste,"17,399",2013
Ariquemes,"101,269",2013
Buritis,"36,555",2013
Cabixi,"6,495",2013
Cacaulândia,"6,268",2013
Cacoal,"85,863",2013
Campo Novo de Rondônia,"13,939",2013
Candeias do Jamari,"22,973",2013
Castanheiras,"3,689",2013
Cerejeiras,"18,041",2013
Chupinguaia,"9,636",2013
Colorado do Oeste,"19,190",2013
Corumbiara,"9,036",2013
Costa Marques,"15,853",2013
Cujubim,"19,410",2013
Espigão D'Oeste,"31,699",2013
Governador Jorge Teixeira,"10,534",2013
Guajará-Mirim,"45,761",2013
Itapuã do Oeste,"9,661",2013
Jaru,"55,597",2013
Ji-Paraná,"128,026",2013
Machadinho D'Oeste,"35,633",2013
Ministro Andreazza,"10,899",2013
Mirante da Serra,"12,469",2013
Monte Negro,"15,541",2013
Nova Brasilândia D'Oeste,"21,427",2013
Nova Mamoré,"26,227",2013
Nova União,"7,883",2013
Novo Horizonte do Oeste,"10,515",2013
Ouro Preto do Oeste,"40,099",2013
Parecis,"5,477",2013
Pimenta Bueno,"36,939",2013
Pimenteiras do Oeste,"2,440",2013
Porto Velho,"484,992",2013
Presidente Médici,"23,017",2013
Primavera de Rondônia,"3,597",2013
Rio Crespo,"3,666",2013
Rolim de Moura,"55,357",2013
Santa Luzia D'Oeste,"8,887",2013
São Felipe D'Oeste,"6,219",2013
São Francisco do Guaporé,"18,265",2013
São Miguel do Guaporé,"23,668",2013
Seringueiras,"12,505",2013
Teixeirópolis,"5,080",2013
Theobroma,"11,343",2013
Urupá,"13,491",2013
Vale do Anari,"10,518",2013
Vale do Paraíso,"8,425",2013
Vilhena,"87,727",2013
Acrelândia,"13,353",2013
Assis Brasil,"6,480",2013
Brasiléia,"22,899",2013
Bujari,"9,003",2013
Capixaba,"9,836",2013
Cruzeiro do Sul,"80,377",2013
Epitaciolândia,"16,099",2013
Feijó,"32,411",2013
Jordão,"7,147",2013
Mâncio Lima,"16,410",2013
Manoel Urbano,"8,386",2013
Marechal Thaumaturgo,"15,857",2013
